Timestamp,File Path,Program Name,SHA-1 Hash,Timeline Entry Number,Entry Type,Timestamp Description,Raw Entry
,C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.23.20211.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe,,,20,ShimcacheFileEntry,,"{""cache_entry_position"":19,""controlset"":1,""data_size"":36,""data"":[0,2,0,0,4,0,0,0,0,0,0,0,32,0,0,0,4,0,0,0,0,0,0,0,128,0,0,0,4,0,0,0,0,0,0,0],""entry_type"":{""File"":{""path"":""C:\\Program Files\\WindowsApps\\Microsoft.WindowsTerminal_1.23.20211.0_x64__8wekyb3d8bbwe\\WindowsTerminal.exe""}},""executed"":null,""last_modified_ts"":""2026-04-07T23:28:52.028Z"",""path_size"":212,""signature"":""10ts""}"
,,Microsoft.WindowsTerminal,,21,ShimcacheProgramEntry,,"{""cache_entry_position"":20,""controlset"":1,""data_size"":100,""data"":[0,2,0,0,4,0,0,0,0,0,0,0,1,0,100,134,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0],""entry_type"":{""Program"":{""raw_entry"":""00000009\t000100174ef30000\t0000000000000000\t8664\tMicrosoft.WindowsTerminal\t8wekyb3d8bbwe\t"",""unknown_u32"":""00000009"",""architecture"":""Amd64"",""program_name"":""Microsoft.WindowsTerminal"",""program_version"":""1.23.20211.0"",""sdk_version"":""0.0.0.0"",""publisher_id"":""8wekyb3d8bbwe"",""neutral"":false}},""executed"":null,""last_modified_ts"":null,""path_size"":176,""signature"":""10ts""}"
,C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.23.20211.0_x64__8wekyb3d8bbwe\OpenConsole.exe,,,22,ShimcacheFileEntry,,"{""cache_entry_position"":21,""controlset"":1,""data_size"":24,""data"":[0,2,0,0,4,0,0,0,0,0,0,0,32,0,0,0,4,0,0,0,0,0,0,0],""entry_type"":{""File"":{""path"":""C:\\Program Files\\WindowsApps\\Microsoft.WindowsTerminal_1.23.20211.0_x64__8wekyb3d8bbwe\\OpenConsole.exe""}},""executed"":null,""last_modified_ts"":""2026-04-07T23:28:51.932Z"",""path_size"":204,""signature"":""10ts""}"
,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\146.0.3856.109\msedgewebview2.exe,,,23,ShimcacheFileEntry,,"{""cache_entry_position"":22,""controlset"":1,""data_size"":24,""data"":[0,2,0,0,4,0,0,0,0,0,0,0,32,0,0,0,4,0,0,0,0,0,0,0],""entry_type"":{""File"":{""path"":""C:\\Program Files (x86)\\Microsoft\\EdgeWebView\\Application\\146.0.3856.109\\msedgewebview2.exe""}},""executed"":null,""last_modified_ts"":""2026-04-06T02:20:28.051Z"",""path_size"":180,""signature"":""10ts""}"
,C:\Program Files\WindowsApps\Microsoft.MicrosoftOfficeHub_19.2604.33131.0_x64__8wekyb3d8bbwe\M365Copilot.exe,,,24,ShimcacheFileEntry,,"{""cache_entry_position"":23,""controlset"":1,""data_size"":24,""data"":[0,2,0,0,4,0,0,0,0,0,0,0,32,0,0,0,4,0,0,0,0,0,0,0],""entry_type"":{""File"":{""path"":""C:\\Program Files\\WindowsApps\\Microsoft.MicrosoftOfficeHub_19.2604.33131.0_x64__8wekyb3d8bbwe\\M365Copilot.exe""}},""executed"":null,""last_modified_ts"":""2026-04-07T23:32:39.470Z"",""path_size"":216,""signature"":""10ts""}"
,,Microsoft.MicrosoftOfficeHub,,25,ShimcacheProgramEntry,,"{""cache_entry_position"":24,""controlset"":1,""data_size"":100,""data"":[0,2,0,0,4,0,0,0,0,0,0,0,1,0,100,134,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0],""entry_type"":{""Program"":{""raw_entry"":""00000009\t00130a2c816b0000\t0000000000000000\t8664\tMicrosoft.MicrosoftOfficeHub\t8wekyb3d8bbwe\t"",""unknown_u32"":""00000009"",""architecture"":""Amd64"",""program_name"":""Microsoft.MicrosoftOfficeHub"",""program_version"":""19.2604.33131.0"",""sdk_version"":""0.0.0.0"",""publisher_id"":""8wekyb3d8bbwe"",""neutral"":false}},""executed"":null,""last_modified_ts"":null,""path_size"":182,""signature"":""10ts""}"
,C:\Program Files\WindowsApps\Microsoft.MicrosoftOfficeHub_19.2604.33131.0_x64__8wekyb3d8bbwe\m365copilot_autostarter.exe,,,26,ShimcacheFileEntry,,"{""cache_entry_position"":25,""controlset"":1,""data_size"":24,""data"":[0,2,0,0,4,0,0,0,0,0,0,0,32,0,0,0,4,0,0,0,0,0,0,0],""entry_type"":{""File"":{""path"":""C:\\Program Files\\WindowsApps\\Microsoft.MicrosoftOfficeHub_19.2604.33131.0_x64__8wekyb3d8bbwe\\m365copilot_autostarter.exe""}},""executed"":null,""last_modified_ts"":""2026-04-07T23:32:41.223Z"",""path_size"":240,""signature"":""10ts""}"
,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26020.6-0\MpCmdRun.exe,,,27,ShimcacheFileEntry,,"{""cache_entry_position"":26,""controlset"":1,""data_size"":136,""data"":[0,2,0,0,4,0,0,0,0,0,0,0,1,0,100,134,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0,0,4,0,0,4,0,0,0,0,0,0,0,64,0,0,0,4,0,0,0,1,0,0,0,32,0,0,0,4,0,0,0,0,0,0,0],""entry_type"":{""File"":{""path"":""C:\\ProgramData\\Microsoft\\Windows Defender\\Platform\\4.18.26020.6-0\\MpCmdRun.exe""}},""executed"":null,""last_modified_ts"":""2026-04-08T00:14:56.256Z"",""path_size"":156,""signature"":""10ts""}"
,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26020.6-0\NisSrv.exe,,,28,ShimcacheFileEntry,,"{""cache_entry_position"":27,""controlset"":1,""data_size"":24,""data"":[0,2,0,0,4,0,0,0,0,0,0,0,32,0,0,0,4,0,0,0,0,0,0,0],""entry_type"":{""File"":{""path"":""C:\\ProgramData\\Microsoft\\Windows Defender\\Platform\\4.18.26020.6-0\\NisSrv.exe""}},""executed"":null,""last_modified_ts"":""2026-04-08T00:14:56.375Z"",""path_size"":152,""signature"":""10ts""}"
,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26020.6-0\MsMpEng.exe,,,29,ShimcacheFileEntry,,"{""cache_entry_position"":28,""controlset"":1,""data_size"":24,""data"":[0,2,0,0,4,0,0,0,0,0,0,0,32,0,0,0,4,0,0,0,0,0,0,0],""entry_type"":{""File"":{""path"":""C:\\ProgramData\\Microsoft\\Windows Defender\\Platform\\4.18.26020.6-0\\MsMpEng.exe""}},""executed"":null,""last_modified_ts"":""2026-04-08T00:14:56.349Z"",""path_size"":154,""signature"":""10ts""}"
,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26020.6-0\MpDefenderCoreService.exe,,,30,ShimcacheFileEntry,,"{""cache_entry_position"":29,""controlset"":1,""data_size"":24,""data"":[0,2,0,0,4,0,0,0,0,0,0,0,32,0,0,0,4,0,0,0,0,0,0,0],""entry_type"":{""File"":{""path"":""C:\\ProgramData\\Microsoft\\Windows Defender\\Platform\\4.18.26020.6-0\\MpDefenderCoreService.exe""}},""executed"":null,""last_modified_ts"":""2026-04-08T00:14:56.287Z"",""path_size"":182,""signature"":""10ts""}"
,C:\Program Files\VMware\VMware Tools\vm3dservice.exe,,,31,ShimcacheFileEntry,,"{""cache_entry_position"":30,""controlset"":1,""data_size"":148,""data"":[0,2,0,0,4,0,0,0,0,0,0,0,1,0,100,134,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0,0,4,0,0,4,0,0,0,3,0,0,0,64,0,0,0,4,0,0,0,1,0,0,0,32,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0],""entry_type"":{""File"":{""path"":""C:\\Program Files\\VMware\\VMware Tools\\vm3dservice.exe""}},""executed"":null,""last_modified_ts"":""2024-09-10T12:10:10Z"",""path_size"":104,""signature"":""10ts""}"
